OrderID,Product,Quantity,Price,Freight
1001,Product_0,7,57.23,35.75
1002,Product_1,20,45.99,32.45
1003,Product_2,15,14.2,42.49
1004,Product_3,11,97.64,12.8
1005,Product_4,8,30.95,22.6
1006,Product_5,7,18.15,13.2
1007,Product_6,19,65.65,38.99
1008,Product_7,11,44.42,24.13
1009,Product_8,11,98.49,14.36
1010,Product_9,4,52.01,30.55
1011,Product_10,8,87.39,6.41
1012,Product_11,3,71.23,42.9
1013,Product_12,2,50.54,25.24
1014,Product_13,12,11.19,22.78
1015,Product_14,6,94.8,46.7
1016,Product_15,2,60.7,37.73
1017,Product_16,1,44.69,19.69
1018,Product_17,12,11.44,30.67
1019,Product_18,12,30.78,28.44
1020,Product_19,17,31.69,48.25
